AMIE;x;y
1;-621236,2171;9903959,085
2;-560374,717;9857112,916
3;-551467,9033;9926904,901
4;-542129,3466;9922226,921
5;-541330,1478;9917427,29
6;-541219,4583;9917287,812
7;-541139,5955;9917673,508
8;-541087,1653;9916581,449
9;-540968,1055;9916566,145
10;-536202,4894;9925051,211
11;-461393,6897;9899624,176
12;-460964,3705;9899181,111
13;-455517,5855;9898498,51
14;-462100,73;9898544,87
15;501322;9757202
16;503730;9755557
17;503909;9755421
18;504182;9755699
19;504772,6;9754464,97
20;504852;9755739
21;505576,64;9755303,8
22;505715,76;9755537,06
23;505722,88;9755304,95
24;507243;9753047
25;507393;9752822
26;507553,4;9753266,55
27;507677,71;9753004,62
28;507763,25;9752262,97
29;508016;9752870
30;508045,55;9753477,55
31;508206,65;9752064,05
32;508283;9753839
33;508933;9754331
34;508969;9752367
35;509111,51;9753478,38
36;509342;9754325
37;509606,75;9754243,23
38;509688;9751802
39;509783;9752274
40;510033;9753169
41;510065;9751291
42;510209;9752376
43;510212,07;9882759,95
44;510220,67;9753055,44
45;510334,76;9754522,71
46;510435;9753398
47;510659,24;9751990,56
48;510671,77;9753639,09
49;510700,9833;9882252,821
50;510761,85;9752245,74
51;510894,76;9753504,77
52;511099,14;9752322,31
53;511119,49;9752568,03
54;511171,29;9752783,32
55;511233,6874;9880142,115
56;511375,8199;9879343,834
57;511676,36;9754969,63
58;511712;9752844
59;512027;9752257
60;512045,31;9753481,49
61;512201;9743042
62;512366;9753626
63;512474;9752136
64;512514;9743989
65;512516;9743564
66;512543;9743074
67;512609;9752976
68;512885;9875731
69;513081,9861;9886040,087
70;513911;9756028
71;514636,4275;9884339,082
72;514776;9753846
73;515259,77;9753736,48
74;515357,77;9754609,14
75;515504;9754285
76;515651;9754303
77;515685,35;9753140,62
78;515700;9747661
79;515730,5045;9885484,255
80;515761,991;9872031,18
81;515980,82;9743768,34
82;516004,32;9753592,23
83;516056;9751877
84;516133,42;9753934,04
85;516135,2;9754701,82
86;516139;9743445
87;516269,14;9743185,08
88;516308,5634;9888536,106
89;516827;9890100
90;516835;9746744
91;517084,3621;9890280,001
92;517554,265;9871240,909
93;518007,1717;9822441,512
94;518010,2617;9822444,582
95;518056,7302;9823985,876
96;518098,642;9874310,351
97;518131,022;9883804,94
98;518833,7069;9892429,127
